# T                    FRAW                 FCOR                 ARCLENGTH             MOVING   CADENCENO  
  2162.9001756347425   0.9150348369878677   0.9955455310805202   2.7638726661283743    0        100519     
  2162.920607407257    0.8963151923352601   0.9980374586957024   2.539494769967994     0        100520     
  2162.941039179299    0.8758303188544551   0.9916268358156121   2.408031539444353     0        100521     
  2162.9614709508824   0.8505607211117647   0.9798490666442177   2.2827772069176566    0        100522     
  2162.981902722233    0.8332160515447179   0.9781876380277372   2.1372703216109135    0        100523     
  2163.0023344933434   0.8175591801168953   0.9751273445295426   2.0064604535686925    0        100524     
  2163.0227662639954   0.7906799449873095   0.9699550122754703   1.84006520550716      0        100525     
  2163.0431981341826   0.7602493881575476   0.9718154859133021   1.6338191284678165    0        100526     
  2163.063629804128    0.7342363928195639   0.9762693225053927   1.454958854996741     0        100527     
  2163.084061573849    0.7035944171678843   0.9771589280682486   1.2819969305408379    0        100528     
  2163.1044934431047   0.6743714529800021   0.9771377876875169   1.1194281431217696    0        100529     
  2163.124925112119    0.6524928991025807   0.9875929753819431   0.9504796219724926    0        100530     
  2163.18622041685     0.9901090961370149   0.9919220410553852   3.749995308870732     0        100533     
  2163.2066521844754   0.9776924664326536   0.9942181953905385   3.5759727634694007    0        100534     
  2163.2270840516358   0.9764099738634112   1.0026302434607313   3.4349030937833085    0        100535     
  2163.2475157185545   0.9673603233446604   1.000347769461997    3.3338198389182003    0        100536     
  2163.2679474852484   0.9654034835920055   1.0074230183388568   3.230576760614807     0        100537     
  2163.2883793514775   0.9566823256343394   1.0078252741933653   3.1262244559411148    0        100538     
  2163.308811017465    0.9418507737971142   1.0034256315655092   3.010243758123167     0        100539     
  2163.3292427829947   0.9333289641879611   1.0067167421024104   2.8664630903702597    0        100540     
  2163.3496746482924   0.9212904156640853   1.006247117549876    2.7259221078308897    0        100541     
  2163.3701064131164   0.9123956040123876   1.00966722150168     2.598911764916883     0        100542     
  2163.390538077714    0.8907416820573838   1.0004608140506273   2.466687208800205     0        100543     
  2163.4109699418477   0.8818520138023843   1.009822430953412    2.325882576301546     0        100544     
  2163.4314017057404   0.8553179585888814   0.9961659118358723   2.203790611338027     0        100545     
  2163.451833369407    0.8390872770284576   0.9917134586658501   2.0816105932785893    0        100546     
  2163.472265232609    0.8141432599815187   0.9794202956335413   1.9407581185780411    0        100547     
  2163.4926969953376   0.7877174341248049   0.9783033757262585   1.7774605001647783    0        100548     
  2163.5131286580727   0.7619002875600926   0.9756656854250013   1.6255508555414413    0        100549     
  2163.5335605201108   0.7439304699927238   0.9797322637791753   1.4977549428577372    0        100550     
  2163.553992282141    0.7164192562832409   0.9787263219091483   1.345713151804229     0        100551     
  2163.5744241434804   0.6872167030131305   0.9855936602237167   1.1600019946416578    0        100552     
  2163.5948558048185   0.658243527826186    0.9932688889676942   0.9620255822386606    0        100553     
  2163.6152875656844   0.6211262688722754   0.9888441433375572   0.7647511000535115    0        100554     
  2163.6357193263248   0.5857684173269      0.9821457802492461   0.5867839300381371    0        100555     
  2163.69701460591     0.8779702939449424   0.9765193424862125   2.550100681124848     0        100558     
  2163.7174463651536   0.8712069471674844   0.9830909049017422   2.4325147690004543    0        100559     
  2163.737878123924    0.8765351281335948   1.004555808066942    2.319984847995815     0        100560     
  2163.758309882469    0.8641943106034498   1.0048801926003927   2.2173275804012174    0        100561     
  2163.778741640781    0.8435063964406754   0.9922543799888581   2.1206187236174285    0        100562     
  2163.79917339862     0.8342285419572979   0.9930806274440771   2.0223883918304706    0        100563     
  2163.8196051562336   0.8275206135394546   0.9995517323294153   1.9197379979795897    0        100564     
  2163.840036913374    0.8105843393336507   1.0040988744008017   1.7905583328697032    0        100565     
  2163.8604686702893   0.7834024772796775   0.998138844890517    1.6490249215211517    0        100566     
  2163.8809005267394   0.7639795175619539   1.0074310914067308   1.49198143499638      0        100567     
  2163.9217639389317   0.9889488992583891   1.005667525217854    3.575934621753055     0        100569     
  2163.9421957944505   0.9767547636263445   1.0044680428948036   3.4136369703318303    0        100570     
  2163.9626274497277   0.95779679117361     0.9978460638934917   3.2487755507195506    0        100571     
  2163.9830592045473   0.9419374403503087   0.9950640519496653   3.097409578264383     0        100572     
  2164.003491059135    0.9331504498849764   1.0002395584453483   2.939112273120604     0        100573     
  2164.023922713488    0.9164547152708363   0.9951495030033987   2.785676574637089     0        100574     
  2164.044354467369    0.9017043057879657   0.9907206913007932   2.6681133592683985    0        100575     
  2164.0647863207923   0.8965157127373873   0.9952361866273423   2.5684977072657666    0        100576     
  2164.085217974207    0.8734722807854887   0.9839390079408616   2.4452143611794264    0        100577     
  2164.105649727164    0.8538913198267993   0.9796563611246705   2.3122529596664685    0        100578     
  2164.126081579656    0.8366173507908435   0.9766413758225095   2.18443876415232      0        100579     
  2164.1465132319136   0.8258423491700155   0.9749173846470567   2.091295769709591     0        100580     
  2164.1669450839327   0.8100781663355439   0.9811765293268027   1.9791233921577585    0        100581     
  2164.1873768354926   0.7946093178376212   0.9863181964360003   1.83755228568039      0        100582     
  2164.2078085868125   0.7711838511654449   0.9821240200860097   1.6902287980860906    0        100583     
  2164.228240337674    0.7521835387078722   0.9849138410639512   1.5460776569019403    0        100584     
  2164.2486720883026   0.7247556796685363   0.9807911815426937   1.395037781922778     0        100585     
  2164.269103838691    0.7069726212434239   0.995811460348156    1.2329585659937097    0        100586     
  2164.289535688622    0.6867481242442808   0.9941895676317521   1.1080953105387645    0        100587     
  2164.3099673383185   0.6721793282708584   0.9953797962186762   0.9889168901255816    0        100588     
  2164.330399087543    0.6575417347285426   0.9942210155885117   0.8823647905871471    0        100589     
  2164.3508309365425   0.6388635808830095   0.998371422187383    0.7626541334166324    0        100590     
  2164.3712625853077   0.6267699570947115   1.012602472745806    0.648744245435388     0        100591     
  2164.4121260816682   0.9811600955017173   1.0111542237293467   3.393839347611867     0        100593     
  2164.43255782927     0.9791266064149      1.0119976152826011   3.311645156585238     0        100594     
  2164.452989576632    0.966037740800678    1.001824629244063    3.2176116745630683    0        100595     
  2164.473421323768    0.9490111858664398   0.9921747570844269   3.116485097787324     0        100596     
  2164.4938530704385   0.9455277856271666   0.9987053311171258   3.028670125741037     0        100597     
  2164.5142847168754   0.9366637449112338   1.0001750641429148   2.935893917017986     0        100598     
  2164.5347165630737   0.9229100933372586   0.9958824350064353   2.834595801317545     0        100599     
  2164.555148308813    0.9069771302352229   0.9924029026445532   2.7166277173621887    0        100600     
  2164.575580054079    0.9031272632486943   1.000322919712034    2.6130707774092787    0        100601     
  2164.5960117993527   0.8824035958136007   0.9873818627564465   2.515257920166187     0        100602     
  2164.6164435439277   0.8719599572190473   0.9855854771341617   2.4258550962859884    0        100603     
  2164.6368752884955   0.864839757152975    0.9873450972344026   2.33870402315248      0        100604     
  2164.657307032605    0.8590949802505065   0.9864550117955371   2.302368700916755     0        100605     
  2164.6777387764814   0.8492652513978286   0.9914039841656589   2.203049213043065     0        100606     
  2164.698170619886    0.8489386705080043   0.9961691403336603   2.1718853986980697    0        100607     
  2164.718602363064    0.8371699035789748   0.9868674930405373   2.144429441026929     0        100608     
  2164.7390340060083   0.8326425363005362   0.9819008460138444   2.1421715507982513    0        100609     
  2164.7594658484813   0.8368765057569816   0.9818869943117978   2.172668659179212     0        100610     
  2164.779897590728    0.8345051733579905   0.980913669216295    2.1615888284252156    0        100611     
  2164.8003292325084   0.8187140266569534   0.9895776300909365   1.9912732013109404    0        100612     
  2164.82076107405     0.7958247702283003   0.9977613717886823   1.7806368159937567    0        100613     
  2164.8411928153655   0.7635483779176007   1.0008020098605446   1.5409419126849215    0        100614     
  2164.8616244562145   0.720046495929542    0.9978185748295777   1.2983831153328418    0        100615     
  2164.902488037209    1.018483097342154    1.0052183996191673   4.215068366626316     0        100617     
  2164.9229196771266   1.0271867978026612   1.015201066973295    4.1202186126825       0        100618     
  2164.9433515168057   1.0279580758645674   1.0175970959992242   4.044580364338157     0        100619     
  2164.9637832560256   1.017514707780549    1.010715164717776    3.967837554583078     0        100620     
  2164.984214895012    1.016416364801821    1.0160271163251804   3.883252827857831     0        100621     
  2165.0046467337597   1.0049796495943761   1.0117274340681814   3.7891192424228906    0        100622     
  2165.025078472281    0.9954266610538145   1.00938740253872     3.686193532794181     0        100623     
  2165.06594194792     0.977698779283086    1.0034182323562917   3.495178476057636     0        100625     
  2165.086373685277    0.9702992380408187   0.9997856388073113   3.398825899695411     0        100626     
  2165.1068054224015   0.9598207177421774   0.9927756599904781   3.2908979378454575    0        100627     
  2165.127237159286    0.9598718179830277   0.9996660008438201   3.1553562123624137    0        100628     
  2165.147668895712    0.9334463006881754   0.9899110650671433   2.994386407778336     0        100629     
  2165.168100631905    0.9202142511361996   0.9922234067895132   2.8410491787713634    0        100630     
  2165.188532467626    0.9020022970732423   0.991547512259177    2.6776714958630854    0        100631     
  2165.20896410312     0.8793890937378708   0.9857177679274519   2.4997758582231375    0        100632     
  2165.2293959383824   0.8605797773385416   0.9850430530244669   2.320731312731356     0        100633     
  2165.2498275731705   0.8331814074514517   0.9782492809375152   2.1683845181434878    0        100634     
  2165.270259307734    0.8087101913566973   0.976254340671485    1.9986552450869808    0        100635     
  2165.2906911420578   0.7902317179274473   0.9834735078364126   1.8225093895621707    0        100636     
  2165.311122775922    0.7619687363385319   0.9763535211818322   1.6580275919299858    0        100637     
  2165.331554509554    0.7503051123559441   0.9845487648466102   1.5352197964725456    0        100638     
  2165.3519863429538   0.7357183455107508   0.986568542461626    1.4327304718675116    0        100639     
  2165.39284970858     1.0204352394223533   1.0028671478278575   4.498585783686232     0        100641     
  2165.4132815408084   1.023830388294483    1.0092646715103253   4.365708653719838     0        100642     
  2165.4337131730426   1.027628441239428    1.0135835877950845   4.260335181162909     0        100643     
  2165.454144904812    1.0263052595034037   1.0140865774235677   4.136751098250608     0        100644     
  2165.4745767361164   1.0244647497123276   1.015190267162268    4.015472098117021     0        100645     
  2165.4950083671793   1.0139042269377938   1.0128075142464106   3.8925863054191163    0        100646     
  2165.5154400980173   1.0111877791810508   1.0209055712169106   3.7493536258182845    0        100647     
  2165.535871928383    0.9935364883113843   1.0148650293923296   3.569910441051779     0        100648     
  2165.5563036585227   0.9725071461492357   1.001689152548039    3.4093551169840373    0        100649     
  2165.5767352884286   0.9615783468757525   0.9960331490017634   3.250336381169968     0        100650     
  2165.5971671181032   0.9484623589306882   0.9973492533401828   3.0668345801565984    0        100651     
  2165.638030476279    1.0348121497934866   1.0101931549892285   4.793098134681443     0        100653     
  2165.658462304782    1.0287946823356424   1.0065992561643775   4.6934488721629295    0        100654     
  2165.678894033059    1.0188776951522005   0.9996047647295159   4.574415969001997     0        100655     
  2165.7197574886814   1.0105162516795803   0.9953004312314792   4.402569190135099     0        100657     
  2165.7401892160196   1.007925953255808    0.9938827762871345   4.3160079058628655    0        100658     
  2165.760621043133    1.0026775618152077   0.9895285590178451   4.221385782554435     0        100659     
  2165.781052669772    0.9983184297390061   0.9864236592472195   4.137400376323334     0        100660     
  2165.8014843964193   0.9870066570067662   0.9769053314229995   4.048984790741611     0        100661     
  2165.8219162223686   0.9816265479112929   0.9753923639341299   3.9633602213034402    0        100662     
  2165.8423478483164   0.9846612590182467   0.9846612879448556   3.878141854917476     0        100663     
  2165.862779573792    0.980743327971289    0.9868360727209028   3.795737060731226     0        100664     
  2165.8832112988093   0.9788181487198431   0.991711558073286    3.6996176321296432    0        100665     
  2165.9036430238193   0.967714680665117    0.9878513381922611   3.580138361687919     0        100666     
  2165.924074748371    0.9654094049519015   0.9921850687263876   3.4645140061352375    0        100667     
  2165.9445064726897   0.9651259060490616   0.995886361663204    3.358083403806742     0        100668     
  2165.9649381965355   0.9608095897770927   0.9959217455506586   3.231096655460355     0        100669     
  2165.985369920156    0.9535642416045846   0.9997994376310028   3.0918164099898284    0        100670     
  2166.0058016435432   0.9436995491088102   1.0049446649404243   2.959058752485692     0        100671     
  2166.0262333666906   0.9361881733645491   1.0067748987908338   2.866477912923609     0        100672     
  2166.0466650893795   0.9310866381972152   1.0124001139042529   2.76970987080073      0        100673     
  2166.0670969118364   0.9183150070495114   1.0137937916373538   2.642010381139212     0        100674     
  2166.087528533819    0.900177379841706    1.008060922984073    2.508251504356271     0        100675     
  2166.1079602558093   0.8901997880487376   1.013733754519468    2.3606283130959604    0        100676     
  2166.128392077102    0.8716010135823021   1.0110569108978966   2.241290110947979     0        100677     
  2166.148823698386    0.8616680557333501   1.019285820294813    2.123627250913915     0        100678     
  2166.1692554192123   0.832807936499729    1.0069022423493776   1.989591708279386     0        100679     
  2166.1896872398065   0.8119277177915916   0.9970855551310677   1.898999195003075     0        100680     
  2166.210118860159    0.80391634173083     1.0046552297029543   1.798955787864467     0        100681     
  2166.230550580054    0.7899920692707114   1.0111432749766032   1.6638176306246004    0        100682     
  2166.250982399717    0.758078956211883    0.9920978976177114   1.5488328008832541    0        100683     
  2166.2714140191383   0.742173520593968    0.9933979861307062   1.4402545989231417    0        100684     
  2166.2918458383356   0.729642379859544    0.9899298096063263   1.3845491533090162    0        100685     
  2166.3122775570664   0.7140566098792508   0.9943449100039259   1.2787781945657342    0        100686     
  2166.3327091755564   0.6768222933397988   0.9835348950623253   1.0879153044335725    0        100687     
  2166.373572711389    0.9821150471300624   0.9978808387533838   3.6543444528808795    0        100689     
  2166.3940044289484   0.9607192156455708   0.987967828211677    3.4496421281070595    0        100690     
  2166.4144361462822   0.9447939353487174   0.977675742532917    3.2781765152843954    0        100691     
  2166.4348678631504   0.9380765679336603   0.9810113994397855   3.1141288256141206    0        100692     
  2166.4552995797785   0.9282812068915527   0.9880389996940364   2.9632477698991213    0        100693     
  2166.475731296181    0.9187738612569879   0.9926122056236765   2.824334713179665     0        100694     
  2166.496163012118    0.9118871458483594   1.0011414389725386   2.688320791853776     0        100695     
  2166.5165947278147   0.897433758783639    1.00001397750072     2.5526977362895926    0        100696     
  2166.5370265432866   0.8914285615385736   1.0124987440924487   2.38327161831193      0        100697     
  2166.5574581582914   0.8706457173147519   1.015377189544353    2.2088991548269696    0        100698     
  2166.5778898732897   0.8574938171556455   1.0213452647100183   2.082663442326332     0        100699     
  2166.5983216878303   0.8407326600231088   1.0168969256059694   1.9872138067887342    0        100700     
  2166.618753301904    0.8481004045219085   1.0250703189100405   1.9914247817387007    0        100701     
