MasterID	Mag	Magerr	RA	Dec	MJD	Blend
1.10707E+12	16.96	0.08	192.62116	6.60289	54423.52134	0
1.10707E+12	17	0.08	192.62118	6.60296	54562.38799	0
1.10707E+12	17.08	0.08	192.62116	6.6029	54562.3941	0
1.10707E+12	17.03	0.08	192.62112	6.60292	54562.40022	0
1.10707E+12	16.99	0.08	192.62113	6.60292	54562.40633	0
1.10707E+12	17.02	0.08	192.6211	6.60299	54568.27934	0
1.10707E+12	16.99	0.08	192.62115	6.60293	54568.29012	0
1.10707E+12	16.95	0.08	192.62111	6.60298	54568.30084	0
1.10707E+12	16.98	0.08	192.62117	6.60293	54568.31158	0
1.10707E+12	16.79	0.08	192.62112	6.60256	54502.43865	0
1.10707E+12	16.92	0.08	192.62114	6.60292	54502.44726	0
1.10707E+12	16.86	0.08	192.62116	6.60293	54502.45588	0
1.10707E+12	16.86	0.08	192.62112	6.60291	54502.46453	0
1.10707E+12	16.9	0.08	192.62116	6.60294	54509.42845	0
1.10707E+12	16.89	0.08	192.62117	6.60291	54509.43493	0
1.10707E+12	16.83	0.08	192.62111	6.60289	54509.44141	0
1.10707E+12	16.86	0.08	192.62118	6.60287	54509.44794	0
1.10707E+12	16.88	0.08	192.62115	6.60292	54523.42846	0
1.10707E+12	16.94	0.08	192.62118	6.60287	54523.43838	0
1.10707E+12	16.75	0.08	192.6211	6.60264	54523.44827	0
1.10707E+12	16.92	0.08	192.62112	6.60296	54523.45822	0
1.10707E+12	16.83	0.08	192.62116	6.60294	54476.46639	0
1.10707E+12	16.82	0.08	192.62114	6.60296	54476.47304	0
1.10707E+12	16.78	0.08	192.62113	6.60258	54476.47964	0
1.10707E+12	16.83	0.08	192.62114	6.6029	54476.48629	0
1.10707E+12	16.83	0.08	192.62115	6.60292	54496.39325	0
1.10707E+12	16.8	0.08	192.62118	6.60269	54496.39762	0
1.10707E+12	16.86	0.08	192.62109	6.60291	54496.40196	0
1.10707E+12	16.81	0.08	192.62114	6.60291	54496.40633	0
1.10707E+12	16.84	0.08	192.62111	6.60295	54625.2102	0
1.10707E+12	16.86	0.08	192.62117	6.60298	54625.21736	0
1.10707E+12	16.86	0.08	192.62116	6.603	54625.22458	0
1.10707E+12	16.79	0.08	192.62107	6.60277	54625.2318	0
1.10707E+12	16.95	0.07	192.6212	6.60293	54532.27387	0
1.10707E+12	16.89	0.07	192.62109	6.60294	54532.28635	0
1.10707E+12	16.93	0.07	192.62118	6.60291	54532.29881	0
1.10707E+12	16.96	0.07	192.6212	6.60295	54532.31132	0
1.10707E+12	16.89	0.13	192.62115	6.60269	54535.26419	0
1.10707E+12	16.74	0.12	192.62098	6.60277	54535.26446	0
1.10707E+12	16.83	0.12	192.6211	6.60281	54535.26474	0
1.10707E+12	17.06	0.13	192.62111	6.60298	54535.26501	0
1.10707E+12	16.98	0.08	192.62114	6.60295	54554.30913	0
1.10707E+12	17	0.08	192.62107	6.60294	54554.3167	0
1.10707E+12	17.07	0.08	192.62115	6.60298	54554.32429	0
1.10707E+12	17.06	0.08	192.62116	6.6029	54554.3319	0
1.10707E+12	16.99	0.08	192.62112	6.60291	54587.20314	0
1.10707E+12	16.99	0.08	192.62107	6.60291	54587.20946	0
1.10707E+12	16.98	0.08	192.6211	6.603	54587.21579	0
1.10707E+12	16.9	0.08	192.62113	6.60249	54587.22209	0
1.10707E+12	16.99	0.09	192.62118	6.60302	54794.52478	0
1.10707E+12	16.96	0.09	192.62107	6.60289	54794.53138	0
1.10707E+12	16.84	0.09	192.6212	6.60289	54794.53745	0
1.10707E+12	16.88	0.09	192.62115	6.6028	54794.54349	0
1.10707E+12	17.08	0.08	192.62111	6.60294	55180.52318	0
1.10707E+12	17.08	0.08	192.62114	6.60295	55180.52967	0
1.10707E+12	17.1	0.08	192.62105	6.60293	55180.53599	0
1.10707E+12	17.09	0.08	192.62115	6.60291	55180.54239	0
1.10707E+12	16.98	0.08	192.62111	6.60287	54882.44325	0
1.10707E+12	16.94	0.08	192.62109	6.60288	54882.4502	0
1.10707E+12	16.93	0.08	192.62113	6.6029	54882.45733	0
1.10707E+12	16.91	0.08	192.62114	6.60299	54882.46444	0
1.10707E+12	16.98	0.09	192.62114	6.60294	54850.52494	0
1.10707E+12	16.97	0.09	192.62113	6.60295	54850.52914	0
1.10707E+12	17.01	0.09	192.62114	6.60298	54850.53331	0
1.10707E+12	16.98	0.09	192.6211	6.60301	54850.53765	0
1.10707E+12	16.99	0.08	192.62115	6.60296	54908.3358	0
1.10707E+12	17.02	0.08	192.62114	6.60294	54908.34067	0
1.10707E+12	16.98	0.08	192.62113	6.60291	54908.34548	0
1.10707E+12	16.95	0.08	192.62117	6.60291	54908.35036	0
1.10707E+12	16.99	0.08	192.62111	6.60288	54917.34016	0
1.10707E+12	17.06	0.08	192.62116	6.60294	54917.34589	0
1.10707E+12	16.96	0.08	192.6211	6.6027	54917.35169	0
1.10707E+12	16.94	0.08	192.62107	6.60288	54917.35756	0
1.10707E+12	16.97	0.08	192.62109	6.60298	54967.23984	0
1.10707E+12	17.06	0.08	192.62117	6.60292	54967.24586	0
1.10707E+12	17.02	0.08	192.62113	6.60291	54967.25186	0
1.10707E+12	17.03	0.08	192.62115	6.60294	54967.2579	0
1.10707E+12	17.04	0.08	192.6211	6.60274	55156.51595	0
1.10707E+12	17.24	0.09	192.62112	6.60287	55156.52192	0
1.10707E+12	16.97	0.08	192.62103	6.60255	55156.52805	0
1.10707E+12	17.11	0.08	192.62117	6.6028	55156.53406	0
1.10707E+12	17.15	0.09	192.62122	6.60295	55290.23643	0
1.10707E+12	17.06	0.08	192.62123	6.60284	55290.24277	0
1.10707E+12	17.09	0.08	192.62122	6.60291	55290.24912	0
1.10707E+12	17.1	0.08	192.62125	6.60296	55290.2555	0
1.10707E+12	17.12	0.09	192.62116	6.60291	55299.40811	0
1.10707E+12	16.98	0.08	192.62112	6.60292	55299.41469	0
1.10707E+12	17.06	0.08	192.62109	6.60293	55299.42137	0
1.10707E+12	17.19	0.09	192.62108	6.60286	55299.42804	0
1.10707E+12	17.14	0.08	192.62114	6.60296	55535.50566	0
1.10707E+12	17.08	0.08	192.62117	6.60292	55535.51922	0
1.10707E+12	17.07	0.08	192.62112	6.60299	55535.52601	0
1.10707E+12	17.12	0.09	192.62115	6.60292	55241.37168	0
1.10707E+12	17.1	0.09	192.62107	6.60288	55241.38013	0
1.10707E+12	17.12	0.09	192.62114	6.6029	55241.38854	0
1.10707E+12	17.15	0.09	192.62116	6.60292	55241.39696	0
1.10707E+12	17.18	0.09	192.62109	6.60288	55352.2322	0
1.10707E+12	17.14	0.09	192.62122	6.60278	55352.23966	0
1.10707E+12	17.08	0.08	192.62116	6.60288	55352.24706	0
1.10707E+12	17.09	0.08	192.62111	6.6029	55352.25438	0
1.10707E+12	17.07	0.08	192.62116	6.60287	55267.44441	0
1.10707E+12	17.06	0.08	192.6212	6.60281	55267.45021	0
1.10707E+12	17.14	0.09	192.62113	6.60295	55267.45606	0
1.10707E+12	17.14	0.09	192.6212	6.6029	55267.46191	0
1.10707E+12	17.19	0.09	192.62122	6.60298	55275.3601	0
1.10707E+12	17.27	0.09	192.62119	6.60293	55275.36754	0
1.10707E+12	17.12	0.08	192.62116	6.60258	55275.37497	0
1.10707E+12	17.18	0.09	192.62106	6.60282	55275.38236	0
1.10707E+12	17.16	0.09	192.62112	6.60283	55325.25256	0
1.10707E+12	17	0.08	192.6211	6.60281	55325.26007	0
1.10707E+12	16.95	0.08	192.62119	6.60282	55325.26752	0
1.10707E+12	17.1	0.08	192.62115	6.6029	55325.27506	0
1.10707E+12	17.03	0.08	192.62119	6.60287	55336.22384	0
1.10707E+12	16.98	0.08	192.62123	6.60252	55336.23175	0
1.10707E+12	17.2	0.09	192.62109	6.6028	55336.23985	0
1.10707E+12	16.98	0.08	192.62115	6.60268	55336.24791	0
1.10707E+12	16.93	0.08	192.62113	6.6027	55655.33891	0
1.10707E+12	16.93	0.08	192.62103	6.60291	55655.34587	0
1.10707E+12	16.99	0.08	192.62108	6.60295	55655.35287	0
1.10707E+12	16.93	0.08	192.62106	6.6027	55655.35984	0
1.10707E+12	16.8	0.08	192.62109	6.60261	55663.18541	0
1.10707E+12	16.93	0.08	192.62118	6.60291	55663.19064	0
1.10707E+12	16.96	0.08	192.62111	6.60289	55663.19584	0
1.10707E+12	16.9	0.08	192.62104	6.60294	55663.20105	0
1.10707E+12	16.89	0.09	192.62111	6.60247	55674.18486	0
1.10707E+12	16.97	0.09	192.62115	6.60282	55674.19305	0
1.10707E+12	16.88	0.09	192.6211	6.60287	55674.2013	0
1.10707E+12	17.18	0.13	192.62108	6.60303	55674.20958	0
1.10707E+12	17.01	0.08	192.62113	6.60291	55603.4115	0
1.10707E+12	16.97	0.08	192.62115	6.60296	55603.42057	0
1.10707E+12	17.01	0.08	192.62113	6.60297	55603.42958	0
1.10707E+12	16.93	0.08	192.62116	6.60296	55603.43864	0
1.10707E+12	16.94	0.08	192.62116	6.60293	55565.49457	0
1.10707E+12	17	0.08	192.62107	6.60287	55565.50213	0
1.10707E+12	16.88	0.08	192.62112	6.60258	55565.50974	0
1.10707E+12	17	0.08	192.62107	6.6029	55565.51735	0
1.10707E+12	16.92	0.09	192.62111	6.60297	55577.45255	0
1.10707E+12	16.98	0.09	192.62104	6.60268	55577.45988	0
1.10707E+12	16.89	0.09	192.62111	6.60265	55577.46733	0
1.10707E+12	17.06	0.09	192.62121	6.60292	55577.47479	0
1.10707E+12	17.1	0.09	192.62112	6.60294	55719.22928	0
