# TIME                 APTFLUX     APTFLUX_ERR   DETFLUX      DETFLUX_ERR    CENT_ROW        CENT_COL       
  2146.43203578025     1566.5547   5.6377435     0.96769285   0.0033902738   0.34278953      -0.1630264     
  2146.452467893396    1570.3693   5.6383557     0.97038037   0.0034000585   0.37486392      -0.17497493    
  2146.4729001060696   1584.3384   5.6388493     0.9794636    0.003432185    0.40852937      -0.18263234    
  2146.493332118749    1548.8933   5.6380315     0.9612417    0.0033678443   0.13450015      -0.015119804   
  2146.513764230498    1555.2714   5.6382775     0.9663178    0.0033857767   -0.024627132    0.063832626    
  2146.534196441775    1547.0      5.638221      0.9611764    0.0033677286   -0.009742709    0.05555176     
  2146.5546284525917   1520.3049   5.636548      0.9447476    0.003309184    2.5039644E-4    0.0540425      
  2146.5750605629437   1533.0244   5.636031      0.95212144   0.0033347069   0.04047996      0.01842503     
  2146.5954927728235   1540.1101   5.636742      0.95677894   0.0033514418   0.0662          0.0105601335   
  2146.6159247822434   1528.5812   5.6360846     0.94941276   0.0033252512   0.064007334     0.0067067747   
  2146.6363568907327   1544.2456   5.6363444     0.95844126   0.003357028    0.10956831      -0.017170593   
  2146.6567889992148   1552.858    5.637577      0.9631802    0.003374364    0.12144077      -0.030546533   
  2146.6772211072384   1613.1882   5.641681      1.000047     0.0035060723   0.1250326       -0.04561307    
  2146.6976533143315   1569.3282   5.639225      0.97248346   0.0034079526   0.14396915      -0.050108723   
  2146.718085321416    1789.0588   5.651852      1.1077423    0.0038906436   0.065241404     -0.09736945    
  2146.738517427577    1590.228    5.639202      0.9847649    0.0034509774   0.16684447      -0.06394845    
  2146.7589496337314   1601.2609   5.6402216     0.99058723   0.0034720085   0.18294859      -0.091640234   
  2146.779381738961    1622.7734   5.641702      1.004252     0.0035208275   0.20424713      -0.077572964   
  2146.7998137437244   1603.6638   5.6408043     0.9916565    0.0034761154   0.21321203      -0.09860931    
  2146.820245948489    1591.669    5.639813      0.9840892    0.003448983    0.21281926      -0.10231095    
  2146.8406780523146   1601.0619   5.6394324     0.9896302    0.003468169    0.23626685      -0.10667609    
  2146.861110055681    1606.0275   5.6404138     0.99242556   0.0034785706   0.2512301       -0.11419058    
  2146.881542258576    1581.1038   5.639523      0.97683835   0.0034233946   0.26534307      -0.12390023    
  2146.9019743610115   1595.0906   5.6397033     0.9853427    0.0034533092   0.29272726      -0.14242491    
  2146.922406362981    1593.1442   5.6400895     0.98412484   0.003449277    0.29859877      -0.1441633     
  2146.942838564486    1570.0022   5.6386995     0.9696666    0.0033977646   0.32139057      -0.1540606     
  2146.963270665052    1589.5848   5.6393228     0.982141     0.003441856    0.36445987      -0.17653261    
  2146.983702665624    1595.5786   5.6390653     0.9856845    0.0034541164   0.3610903       -0.18564       
  2147.004134865725    1584.0383   5.6391807     0.9787812    0.0034299954   0.38141963      -0.188499      
  2147.024566965367    1583.2468   5.6385007     0.9782848    0.0034278422   0.3828546       -0.1903493     
  2147.0449989640765   1569.7719   5.63882       0.97011507   0.0033994087   0.40321106      -0.19773059    
