MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1121045008618,14.18,0.05,133.70361,20.10851,53745.43179,0
1121045008618,14.19,0.05,133.70362,20.10853,53745.43884,0
1121045008618,14.19,0.05,133.70361,20.10850,53745.44583,0
1121045008618,14.46,0.06,133.70361,20.10851,53754.23785,0
1121045008618,14.46,0.06,133.70362,20.10848,53754.24444,0
1121045008618,14.47,0.06,133.70363,20.10850,53754.25102,0
1121045008618,14.48,0.06,133.70362,20.10851,53754.25764,0
1121045008618,14.60,0.06,133.70360,20.10852,53761.26843,0
1121045008618,14.62,0.06,133.70363,20.10851,53761.27167,0
1121045008618,14.61,0.06,133.70360,20.10851,53761.27506,0
1121045008618,14.62,0.06,133.70361,20.10852,53761.27831,0
1121045008618,15.38,0.09,133.70368,20.10853,53866.19063,0
1121045008618,15.32,0.09,133.70358,20.10826,53866.19147,0
1121045008618,15.47,0.10,133.70351,20.10852,53866.19221,0
1121045008618,15.42,0.10,133.70363,20.10849,53866.19294,0
1121045008618,15.52,0.06,133.70362,20.10855,53875.16779,0
1121045008618,15.49,0.06,133.70366,20.10847,53875.17264,0
1121045008618,15.52,0.06,133.70351,20.10853,53875.17752,0
1121045008618,15.48,0.06,133.70357,20.10849,53875.18236,0
1121045008618,15.03,0.06,133.70364,20.10854,53881.14457,0
1121045008618,15.06,0.06,133.70359,20.10853,53881.15378,0
1121045008618,15.03,0.06,133.70364,20.10850,53881.16307,0
1121045008618,15.06,0.06,133.70363,20.10852,53881.17231,0
1121045008618,15.46,0.06,133.70359,20.10849,54053.47064,0
1121045008618,15.45,0.06,133.70360,20.10847,54053.47720,0
1121045008618,15.44,0.06,133.70361,20.10852,54053.48384,0
1121045008618,15.47,0.06,133.70366,20.10850,54053.49051,0
1121045008618,15.40,0.06,133.70363,20.10849,54028.45675,0
1121045008618,15.40,0.06,133.70362,20.10849,54028.46599,0
1121045008618,15.41,0.06,133.70362,20.10850,54028.47522,0
1121045008618,15.40,0.06,133.70362,20.10850,54028.48447,0
1121045008618,15.49,0.06,133.70368,20.10853,54003.48966,0
1121045008618,15.51,0.06,133.70363,20.10852,54003.49361,0
1121045008618,15.51,0.06,133.70366,20.10846,54003.49753,0
1121045008618,15.51,0.06,133.70366,20.10851,54003.50149,0
1121045008618,14.70,0.06,133.70363,20.10851,54197.14820,0
1121045008618,14.70,0.06,133.70363,20.10852,54197.15356,0
1121045008618,14.68,0.06,133.70364,20.10851,54197.15891,0
1121045008618,14.72,0.06,133.70362,20.10852,54197.16428,0
1121045008618,15.11,0.06,133.70361,20.10851,54205.16054,0
1121045008618,15.10,0.06,133.70365,20.10851,54205.16701,0
1121045008618,15.10,0.06,133.70363,20.10853,54205.17345,0
1121045008618,15.11,0.06,133.70362,20.10853,54205.17990,0
1121045008618,13.85,0.05,133.70362,20.10849,54437.34288,0
1121045008618,13.85,0.05,133.70362,20.10849,54437.35037,0
1121045008618,13.85,0.05,133.70363,20.10849,54437.35788,0
1121045008618,13.86,0.05,133.70361,20.10850,54437.36538,0
1121045008618,13.81,0.05,133.70361,20.10850,54454.33339,0
1121045008618,13.82,0.05,133.70361,20.10849,54454.34041,0
1121045008618,13.80,0.05,133.70360,20.10849,54454.34746,0
1121045008618,13.81,0.05,133.70361,20.10849,54454.35451,0
1121045008618,14.25,0.05,133.70362,20.10851,54464.38393,0
1121045008618,14.25,0.05,133.70363,20.10851,54464.39048,0
1121045008618,14.24,0.05,133.70361,20.10850,54464.39703,0
1121045008618,14.25,0.05,133.70361,20.10849,54464.40358,0
1121045008618,15.60,0.06,133.70362,20.10854,54138.20955,0
1121045008618,15.64,0.06,133.70363,20.10851,54138.21610,0
1121045008618,15.67,0.06,133.70362,20.10848,54138.22264,0
1121045008618,15.65,0.06,133.70361,20.10851,54138.22919,0
1121045008618,15.30,0.06,133.70364,20.10851,54156.13338,0
1121045008618,15.33,0.06,133.70361,20.10849,54156.14398,0
1121045008618,15.34,0.06,133.70362,20.10850,54156.15293,0
1121045008618,15.32,0.06,133.70363,20.10852,54156.16190,0
1121045008618,15.32,0.06,133.70366,20.10850,54108.30298,0
1121045008618,15.36,0.06,133.70365,20.10850,54108.30942,0
1121045008618,15.31,0.06,133.70364,20.10851,54108.31588,0
1121045008618,15.33,0.06,133.70364,20.10852,54108.32234,0
1121045008618,15.87,0.06,133.70364,20.10853,54116.31014,0
1121045008618,15.87,0.06,133.70359,20.10854,54116.31666,0
1121045008618,15.85,0.06,133.70360,20.10848,54116.32319,0
1121045008618,15.87,0.06,133.70358,20.10848,54116.32974,0
1121045008618,15.45,0.06,133.70362,20.10847,54170.17122,0
1121045008618,15.46,0.06,133.70360,20.10853,54170.17604,0
