# time_1               cadence_1   quality_1   x_1                     y_1                      flux_1               error_1              mflags_1   trend_t_1            trend_p_1            time_2               cadence_2   quality_2   x_2                     y_2                      flux_2              error_2              mflags_2   trend_t_2           trend_p_2           
  2339.9551801698617   -21888      0           0.4161505103111267      0.14670024812221527      1396.1660397496103   4.269295692443848    0          1381.5044628920182   1418.7523223094286   2339.9551801698617   -21888      0           0.4161505103111267      0.14670024812221527      844.5411995256227   2.5669970512390137   0          875.1052638823986   658.1896512042366   
  2339.9756119107115   -21887      0           0.4403831958770752      0.15245895087718964      1391.2449717135455   4.2645673751831055   0          1381.3177627839204   1419.9749586176536   2339.9756119107115   -21887      0           0.4403831958770752      0.15245895087718964      843.8792234979488   2.5642638206481934   0          874.9104544597751   636.1607555021902   
  2339.9960434514433   -21886      0           0.4595451354980469      0.15978650748729706      1395.9252101777156   4.261596202850342    0          1381.1306434837495   1420.7594273442794   2339.9960434514433   -21886      0           0.4595451354980469      0.15978650748729706      847.7817010644632   2.5627517700195312   0          874.7168234416276   619.7821091491359   
  2340.0164750921685   -21885      0           0.479261577129364       0.1660534143447876       1399.9582940948026   4.257778167724609    0          1380.9432211463009   1421.4007042412036   2340.0164750921685   -21885      0           0.479261577129364       0.1660534143447876       850.0487502335671   2.5606603622436523   0          874.52418725687     601.6888363015082   
  2340.0369067327847   -21884      0           0.5016074776649475      0.1753343939781189       1389.7853863163473   4.248628616333008    0          1380.7556179749083   1422.0231780816764   2340.0369067327847   -21884      0           0.5016074776649475      0.1753343939781189       846.2098956917072   2.5556788444519043   0          874.3323721978767   581.8662954531428   
  2340.057338373401    -21883      0           0.5135377049446106      0.18032079935073853      1395.7222761011435   4.246456146240234    0          1380.5679574649648   1422.3163072052612   2340.057338373401    -21883      0           0.5135377049446106      0.18032079935073853      849.3664492400383   2.554593563079834    0          874.1412124403686   571.0555037131011   
  2340.0777700138933   -21882      0           0.5379018187522888      0.1892038732767105       1392.7913142796226   4.240408420562744    0          1380.3803651360672   1422.8495342072422   2340.0777700138933   -21882      0           0.5379018187522888      0.1892038732767105       849.0478158788944   2.551795482635498    0          873.9505536607362   547.7643808148148   
  2340.098201654393    -21881      0           0.5531254410743713      0.19367945194244385      1395.6035413498298   4.236664295196533    0          1380.1929683327855   1423.1530486668792   2340.098201654393    -21881      0           0.5531254410743713      0.19367945194244385      850.5022290985017   2.550093412399292    0          873.7602555579551   532.303122143301    
  2340.1186332947764   -21880      0           0.5762934684753418      0.2011934071779251       1403.192872411281    4.231342792510986    0          1380.00589602754     1423.7159998716108   2340.1186332947764   -21880      0           0.5762934684753418      0.2011934071779251       857.0168629476586   2.547614097595215    8          873.5701942272008   508.79446759364856  
  2340.1390650350368   -21879      0           0.061856918036937714    0.010830770246684551     ""                   ""                   33         1379.8192776971903   1391.4646175082544   2340.1390650350368   -21879      0           0.061856918036937714    0.010830770246684551     802.9407667263692   2.5891826152801514   17         873.3802634184377   868.924996576826    
  2340.1594966753037   -21878      0           -0.0056808702647686005  -0.008230059407651424    1395.4428241980108   4.319412708282471    0          1379.633246761062    1386.817212976359    2340.1594966753037   -21878      0           -0.0056808702647686005  -0.008230059407651424    831.9737418575237   2.596766948699951    0          873.1903802499967   900.757319653175    
  2340.1799282154534   -21877      0           0.026749098673462868    0.00351323070935905      1401.1836422810325   4.318191051483154    0          1379.4479357907585   1388.254869926141    2340.1799282154534   -21877      0           0.026749098673462868    0.00351323070935905      837.2856968561538   2.595989465713501    0          873.0004823492317   887.457284039685    
  2340.2003599555974   -21876      0           0.04640205577015877     0.013164207339286804     1392.0086686210295   4.315053462982178    0          1379.2634754162032   1388.5471652888243   2340.2003599555974   -21876      0           0.04640205577015877     0.013164207339286804     831.2589646317759   2.5942230224609375   0          872.8105284771176   880.5952347846144   
  2340.2207915956315   -21875      0           0.06692582368850708     0.016845012083649635     1391.4076312463035   4.313411235809326    0          1379.0800022417673   1390.6311143145488   2340.2207915956315   -21875      0           0.06692582368850708     0.016845012083649635     834.3361762273672   2.5931358337402344   0          872.6205082181866   869.3202871002978   
  2340.2412231356648   -21874      0           0.07555150985717773     0.018947675824165344     1395.5823609561648   4.312638282775879    0          1378.8976504568298   1391.3764072880624   2340.2412231356648   -21874      0           0.07555150985717773     0.018947675824165344     837.9857371492177   2.5927371978759766   0          872.4304346829022   864.8076380926381   
  2340.261654875576    -21873      0           0.07929084450006485     0.020879436284303665     1391.1504989513849   4.312046051025391    0          1378.7165516913822   1391.4431034098525   2340.261654875576    -21873      0           0.07929084450006485     0.020879436284303665     835.4021876007405   2.592437982559204    0          872.2403453221078   863.4737940917533   
  2340.282086515377    -21872      0           0.08525577932596207     0.022847581654787064     1394.2712565267952   4.311827659606934    0          1378.5368427776532   1391.840433654421    2340.282086515377    -21872      0           0.08525577932596207     0.022847581654787064     837.6074044713787   2.5922317504882812   0          872.0503108489768   860.6280452879962   
  2340.3025180551776   -21871      0           0.10267151892185211     0.031514234840869904     1389.63087188474     4.30980110168457     0          1378.358657498807    1392.3515084581352   2340.3025180551776   -21871      0           0.10267151892185211     0.031514234840869904     833.5582401434524   2.5910372734069824   0          871.8604271479998   853.9903232973683   
  2340.3229497949724   -21870      0           0.10484520345926285     0.030683765187859535     1389.8249544283385   4.309885025024414    0          1378.1821264751838   1392.8736297897221   2340.3229497949724   -21870      0           0.10484520345926285     0.030683765187859535     835.6585146489982   2.591207265853882    0          871.6708152984577   851.9638769499583   
  2340.343381434657    -21869      0           0.10996438562870026     0.03298316150903702      1386.1618507884912   4.3087544441223145   0          1378.0073847365031   1393.1055181370002   2340.343381434657    -21869      0           0.10996438562870026     0.03298316150903702      833.991828902741    2.5904054641723633   0          871.481629675451    849.8098606239097   
  2340.363813174219    -21868      0           0.11472166329622269     0.034445829689502716     1395.330406699043    4.30950403213501     0          1377.8345619814465   1393.484296700255    2340.363813174219    -21868      0           0.11472166329622269     0.034445829689502716     839.6392688966724   2.5908963680267334   0          871.2930472136903   847.3702291659577   
  2340.3842447137868   -21867      0           0.11687520146369934     0.034565042704343796     1393.3981793169987   4.309364318847656    0          1377.6637909109663   1393.7806545277795   2340.3842447137868   -21867      0           0.11687520146369934     0.034565042704343796     838.3938754626328   2.590808629989624    0          871.1052758666328   845.9189945329923   
  2340.4046763532388   -21866      0           0.12695364654064178     0.04023351892828941      1390.1773025237105   4.308390140533447    0          1377.4951977471776   1394.035969211419    2340.4046763532388   -21866      0           0.12695364654064178     0.04023351892828941      836.3963221705626   2.5901708602905273   0          870.91854341909     842.275826659324    
  2340.4251080926915   -21865      8192        0.12599574029445648     0.04099094122648239      1389.6872876842415   4.307955741882324    1          1377.3289096296323   1393.7275504887457   2340.4251080926915   -21865      8192        0.12599574029445648     0.04099094122648239      834.8043166431878   2.5899813175201416   1          870.7331044872712   843.4179561771114   
  2340.445539632019    -21864      0           0.13566260039806366     0.042624108493328094     1393.7835332253253   4.306945323944092    0          1377.1650542600173   1394.834955239152    2340.445539632019    -21864      0           0.13566260039806366     0.042624108493328094     837.7193782888211   2.5893287658691406   0          870.5492388895079   837.5063402073664   
