# time_1               cadence_1   quality_1   x_1                     y_1                     flux_1               error_1              mflags_1   trend_t_1            trend_p_1            time_2               cadence_2   quality_2   x_2                     y_2                     flux_2               error_2              mflags_2   trend_t_2           trend_p_2           
  2185.885763247905    -29428      0           -0.20999027788639069    0.13732728362083435     1605.7652652468682   3.8315088748931885   0          1646.3816813187275   1591.0702476042036   2185.885763247905    -29428      0           -0.20999027788639069    0.13732728362083435     989.8104549776832    2.3593080043792725   0          1086.5037326734175  1064.3793398416694  
  2185.906194687581    -29427      0           -0.22885380685329437    0.14878667891025543     1596.2219941511678   3.828760862350464    0          1641.8363095484783   1592.0110633217157   2185.906194687581    -29427      0           -0.22885380685329437    0.14878667891025543     984.944934469546     2.3575870990753174   0          1083.7865974252759  1058.7630209885733  
  2185.9266263271493   -29426      0           -0.23499958217144012    0.1548386961221695      1598.6365423981185   3.8283743858337402   0          1637.3840085710392   1592.8690064818916   2185.9266263271493   -29426      0           -0.23499958217144012    0.1548386961221695      986.7217642422592    2.3574254512786865   0          1081.0040516241663  1057.3916618216572  
  2185.947057866717    -29425      0           -0.24438998103141785    0.1588551253080368      1601.6913891286288   3.8280627727508545   0          1633.056678475001    1593.0904644567945   2185.947057866717    -29425      0           -0.24438998103141785    0.1588551253080368      989.0986903408167    2.357239246368408    0          1078.2439522058219  1054.021661313319   
  2185.9674894062773   -29424      0           -0.24881547689437866    0.16173489391803741     1612.1623616362815   3.827282667160034    0          1628.6486376535283   1593.4259702706145   2185.9674894062773   -29424      0           -0.24881547689437866    0.16173489391803741     994.6922465806666    2.3568100929260254   0          1075.45237182834    1052.6287430681386  
  2185.987920945612    -29423      0           -0.24595478177070618    0.1610327959060669      1599.3521571391157   3.824601411819458    0          1623.9551064392324   1593.4601014898888   2185.987920945612    -29423      0           -0.24595478177070618    0.1610327959060669      986.921652917198     2.3551394939422607   0          1072.5453172132143  1053.7802682998579  
  2186.008352484947    -29422      0           -0.2438761293888092     0.15911686420440674     1609.6565304959124   3.825766086578369    0          1618.9573385620072   1593.1816942525047   2186.008352484947    -29422      0           -0.2438761293888092     0.15911686420440674     993.3160025147948    2.3557565212249756   0          1069.5095552878015  1054.3118173464238  
  2186.0287840242745   -29421      0           -0.24291372299194336    0.15811902284622192     1597.7691133439864   3.8243675231933594   0          1613.855421524711    1593.029671019852    2186.0287840242745   -29421      0           -0.24291372299194336    0.15811902284622192     986.8430468694236    2.354947328567505    0          1066.4414685647866  1054.53108237106    
  2186.049215563493    -29420      0           -0.2539879083633423     0.16408386826515198     1605.8454773356236   3.8238701820373535   0          1608.9569593994509   1593.6101920050373   2186.049215563493    -29420      0           -0.2539879083633423     0.16408386826515198     991.8278811879892    2.3547255992889404   0          1063.5142960690207  1050.7683424232603  
  2186.0696470027106   -29419      0           -0.2797093689441681     0.1779019832611084      1608.8094917671062   3.822387218475342    0          1604.52392526722     1595.1766238151606   2186.0696470027106   -29419      0           -0.2797093689441681     0.1779019832611084      993.8037516461947    2.3538568019866943   0          1060.9073453591209  1041.7037439640171  
